,0,1,2
A,82.60237,-83.4649,-4.5457525
AAL,117.46398,1.2019403,-18.14817
AAP,10.543481,-92.71725,-32.453133
AAPL,-0.992454,-23.175585,101.71523
ABBV,-96.86575,-24.896107,-52.519905
ABC,-109.95889,58.925377,-27.3083
ABMD,-30.841608,-108.28316,55.023895
ABT,69.14515,-257.6326,378.64453
ACN,50.39294,-52.075005,122.89969
ADI,74.876755,-56.610073,-72.976006
ADM,55.514442,-19.696627,81.08643
ADP,30.659483,-56.56755,55.895782
ADSK,-47.504753,1.750175,88.002075
AEE,5.332149,-57.853966,-92.85953
AEP,-4.911498,-37.645393,-95.23608
AES,87.312645,-34.464367,-99.6004
AFL,51.265965,23.074581,-35.323868
AIG,41.468582,49.005627,-30.108644
AIZ,40.003544,-42.599953,-48.140377
AJG,25.076475,-12.261519,84.898544
AKAM,-93.96914,-83.73397,6.9336557
ALB,62.224224,35.014706,123.670906
ALGN,25.01687,-101.5718,59.08708
ALK,121.07683,-27.75178,-8.368577
ALL,-29.721972,22.703146,-33.710712
ALLE,5.0528455,-0.5442024,37.711823
AMAT,-5.2255383,16.75482,134.76115
AMCR,11.824458,-33.242157,-14.316625
AMD,-75.27266,-7.4512405,127.62638
AME,72.794106,-45.83001,161.10207
AMGN,-118.81033,-41.12979,-20.18652
AMP,0.036744382,133.97104,0.4763736
AMT,-38.31374,-22.506126,-65.98258
AMZN,-54.431484,-88.86753,74.25945
ANET,-91.979195,52.16497,92.03979
ANSS,39.78171,-81.96381,-40.78069
ANTM,13.403661,-113.73316,81.19348
AON,-11.736605,-53.52024,28.668747
AOS,-9.150212,83.42684,82.40579
APA,118.42902,72.556725,12.953474
APD,57.37186,-57.37624,28.913416
APH,-97.9765,57.139965,127.278244
APTV,80.97039,35.534565,17.898012
ARE,-104.51042,-44.601505,60.008434
ATO,-27.48544,-47.944267,-107.0174
ATVI,-77.825,-115.689064,38.935905
AVB,11.998227,-1.1249636,-100.15989
AVGO,9.071238,12.026611,96.990074
AVY,3.8365898,9.111992,9.877396
AWK,-21.114225,-46.84996,-82.58466
AXP,41.678513,69.87865,-46.043083
AZO,8.022658,-88.108894,-12.783137
BA,66.504166,45.507854,-15.18358
BAC,33.113224,-193.38322,-39.49868
BAX,-77.20318,-63.025555,-9.674096
BBWI,83.38233,64.26172,33.848167
BBY,89.927055,-31.106346,96.55412
BDX,-70.87912,-38.573433,-7.3915286
BEN,20.9085,129.64551,55.258617
BIIB,-123.20883,-58.46813,-39.50568
BIO,-116.68425,-99.57969,25.970396
BK,30.856852,91.218735,21.936094
BKNG,-19.03689,81.66168,-103.603935
BKR,92.845856,92.78026,-27.035189
BLK,2.9496243,-1.8554769,68.89679
BLL,-32.74772,-98.65418,7.237668
BMY,-126.945915,-30.357164,-53.431923
BR,-56.197304,-60.30925,16.172724
BRO,-26.000792,-26.272919,105.75031
BSX,-21.637482,-15.492927,32.18065
BWA,115.48714,-16.84529,72.88705
BXP,18.867323,23.043907,-101.24021
C,1.8045803,103.54349,-20.676085
CAG,-88.605225,-51.02231,-84.36616
CAH,-101.999016,64.831436,-7.6939697
CAT,38.484753,50.30195,84.1567
CB,37.26919,-5.49481,-57.910004
CBOE,11.715067,-132.27708,-47.002182
CBRE,-14.864,47.913567,-22.012892
CCI,-46.28027,-20.163258,-50.618065
CDNS,-60.214127,-20.960232,103.864586
CDW,14.553978,-56.962673,122.84972
CE,67.207306,15.53956,81.45912
CERN,-51.69499,24.729422,-56.143692
CF,111.11441,21.811543,30.635897
CFG,8.037225,115.04846,-48.929527
CHD,-36.109196,-78.87855,-50.38605
CHRW,-54.43649,61.7106,39.087585
CHTR,-75.1877,36.847683,-43.581722
CI,-95.86352,7.1424174,-20.200647
CINF,-28.585737,37.737446,-76.98179
CL,-25.088104,-62.29779,-57.563183
CLX,-40.09355,-89.42283,-67.038345
CMA,28.170898,106.71735,-54.370495
CMCSA,-67.234505,60.79834,-42.840027
CME,20.333841,-114.10597,-64.62103
CMG,25.020435,-67.7229,24.425032
CMI,50.237663,30.507694,61.708984
CMS,-37.054024,-72.12432,-101.14192
CNC,-78.63676,24.637697,0.43249634
CNP,51.124214,-39.2759,-106.245346
COF,18.435379,72.799446,-31.855484
COO,-46.61436,-15.624757,3.3729992
COP,97.40576,45.474346,-30.038849
COST,-44.77263,-94.55891,-32.0648
CPB,-69.3092,-53.47163,-102.292175
CPRT,51.7947,-97.210236,88.65066
CRL,-32.4922,-60.96158,62.042496
CRM,-58.44398,-67.65554,101.827965
CSCO,-80.69308,63.58334,77.31294
CSX,-7.3846717,42.53367,45.38945
CTAS,24.306078,-20.836449,55.985294
CTLT,-15.671072,-73.13252,67.887405
CTRA,-80.47077,31.172932,-92.699615
CTSH,23.860098,-26.371729,120.57101
CTXS,-88.941956,-113.34047,-3.8404305
