,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0016388916894261667,0.02097165704932495,0.6619525225347374,0.001362955634770284,0.07255449447857033,-0.03460323413138617,-36.73879739321322,89.0,KMeans,ts2vec
port,0.0016322727251315864,0.020667000687870075,0.6588185489375822,0.0013570877055588326,0.07330376740086464,-0.03410055113498562,-41.07308935881653,128.0,Agg,ts2vec
port,0.0012924479451988226,0.018398484596746423,0.727889447781784,0.0010007105627400717,0.06387179472227758,-0.030357499584631596,-39.67252111200623,145.0,KMeans,PersImage_2
port,0.0013779374757894958,0.017578517960273335,0.7633666942924577,0.0010776982167334064,0.07171445083163568,-0.029004554634451,-35.35083088271524,68.0,Agg,PersImage_2
port,0.0016731823470533564,0.02010254599433577,0.6734060225456473,0.0013945015403866016,0.07739709356502915,-0.03316920089065402,-32.17934050151416,178.0,KMeans,PersLandscape_1
port,0.0016733008952710513,0.02265053754195379,0.6211599443228337,0.0014071404996686561,0.06869581697805416,-0.03737338694422375,-35.10201726992861,254.0,Agg,PersLandscape_1
port,0.0014111525097740079,0.021776444130139346,0.6315680214908052,0.0011424978905099472,0.05941506281775488,-0.03593113281472992,-42.486400233610766,153.0,KMeans,transformer_embds3
port,0.001676048072663637,0.021459144099934643,0.6260517846208212,0.001408715381389004,0.0726377693150369,-0.03540758776489216,-38.04377447718622,179.0,Agg,transformer_embds3
port,0.0015640795232347955,0.02099473650386962,0.6537575769827463,0.0012901073305653264,0.06891135828895427,-0.03464131523138487,-30.95281367808903,149.0,KMeans,transformer_embds2
port,0.0013148249107568322,0.019223349432391533,0.6998064683365633,0.001029817419967014,0.062295137542708774,-0.03171852656344603,-27.454242193601996,150.0,Agg,transformer_embds2
port,0.001190519923011179,0.01948996713245138,0.6809580309715613,0.0009100293297906717,0.055065059981029556,-0.03215844576854478,-37.23140712886843,112.0,KMeans,table_finance_features
port,0.0012004191501010307,0.021054234751759875,0.6365390880460062,0.0009305732491404955,0.051444065720605045,-0.03473948734040379,-39.981110450889226,149.0,Agg,table_finance_features
port,0.001592965758809222,0.022675842799567535,0.6095398633142409,0.0013295900352009293,0.06507639244186841,-0.037415140619286434,-32.638853889715755,153.0,KMeans,autoencoder_mlp
port,0.001424938729053777,0.02369393759914621,0.5594899514692567,0.0011735571204365023,0.05518859031967938,-0.03909499703859125,-40.199569302652115,153.0,Agg,autoencoder_mlp
port,0.0013148249107568322,0.019223349432391536,0.6998064683365632,0.001029817419967014,0.06229513754270876,-0.03171852656344604,-27.454242193601996,150.0,KMeans,transformer_embds5
port,0.0015126255926023032,0.0211180818893999,0.6510554458474062,0.0012393009469586602,0.0660723775045227,-0.03484483511750983,-35.07374327828159,179.0,Agg,transformer_embds5
port,0.001959535171948253,0.021368077366696707,0.6315768099398799,0.0016908784465931941,0.08621418888088736,-0.03525732765504956,-30.747925043019887,79.0,KMeans,PersLandscape_2
port,0.0015802470704492958,0.02189696961716381,0.6286647821222968,0.0013122881924073214,0.06681031129842402,-0.03612999986832028,-34.68536353325635,153.0,Agg,PersLandscape_2
port,0.0014366396837126251,0.021595013641088377,0.6397172620391316,0.0011660321553499664,0.06109447263177011,-0.03563177250779582,-38.084336131598285,237.0,KMeans,tsfresh
port,0.001308213579263009,0.021545486137171197,0.5787594732143283,0.0010522141631189568,0.055274216503936345,-0.03555005212633247,-46.775722850134485,193.0,Agg,tsfresh
port,0.0001953837147543667,0.019172272061419943,0.6963751216684899,-8.880147755391989e-05,0.004072548139823073,-0.03163424890134291,-40.493015256454676,235.0,KMeans,pca
port,0.0006452330762614741,0.02060737925487578,0.6332070122103352,0.0003761856842145133,0.025618462003222223,-0.03400217577054503,-38.544330273623714,211.0,Agg,pca
port,0.0011130084708029981,0.019567146262520565,0.7011390655665687,0.0008276816323095735,0.05088655972668578,-0.03228579133315893,-36.868168531799974,178.0,KMeans,topo_features
